0	1	916.000000	-0.000000	-1.000000
2	3	916.000000	-0.000000	-0.000000
4	5	882.000000	-0.000000	-1.000000
6	7	882.000000	-0.000000	-0.000000
8	9	883.000000	-0.000000	-1.000000
10	11	883.000000	-0.000000	-0.000000
12	13	886.000000	-0.000000	-1.000000
14	15	886.000000	-0.000000	-0.000000
16	17	908.000000	-0.000000	-1.000000
18	19	908.000000	-0.000000	-0.000000
20	21	894.000000	-0.000000	-1.000000
22	23	894.000000	-0.000000	-0.000000
24	25	888.000000	-0.000000	-1.000000
26	27	888.000000	-0.000000	-0.000000
28	29	906.000000	-0.000000	-1.000000
30	31	906.000000	-0.000000	-0.000000
32	33	890.000000	-0.000000	-1.000000
34	35	890.000000	-0.000000	-0.000000
36	37	912.000000	-0.000000	-1.000000
38	39	912.000000	-0.000000	-0.000000
40	41	888.000000	-0.000000	-1.000000
42	43	888.000000	-0.000000	-0.000000
44	45	909.000000	-0.000000	-1.000000
46	47	909.000000	-0.000000	-0.000000
48	49	913.000000	-0.000000	-1.000000
50	51	913.000000	-0.000000	-0.000000
52	53	912.000000	-0.000000	-1.000000
54	55	912.000000	-0.000000	-0.000000
56	57	906.000000	-0.000000	-1.000000
58	59	906.000000	-0.000000	-0.000000
60	61	899.000000	-0.000000	-1.000000
62	63	899.000000	-0.000000	-0.000000
